unidade,mes,tipo_exame,pacientes_dia,exames_realizados,turno_mais_movimentado,temp_medio_exame,protocolo_emergencia,direcao_centrifuga,quantidade_refrigeradores,alinhamento_refrigeradores,cor_parede_laboratorio,cor_parede_coleta,aromatizador_eucalipto,cheiro_ambiente,musica_ambiente,cor_jaleco_funcionario,elemento_decorativo,janela_virada_para,hora_inicio_turno,cpf_biomedico,mes_nascimento_biomedico,dia_fechamento,chefe_setor,tipo_refrigeracao,tempo_entrega_resultado
Unidade D,jul/2024,genético,52,73,manhã,22.6,não,oeste,3,lado_a_lado,azul,verde,não,eucalipto,rock,branco,samambaia,nenhuma,8,59771552318,dez,9,Julia,seca,44.57
Unidade D,dez/2025,urina,37,60,noite,13.0,não,oeste,4,dispersos,verde,verde,não,eucalipto,pagode_90s,vinho,samambaia,leste,8,26480685373,mai,6,Marcos,controlada,23.9
Unidade C,mar/2024,sangue,44,64,tarde,,não,sul,2,em_L,azul,roxa,não,lavanda,jazz,verde_limao,vaso_bambu,oeste,11,43717824760,fev,14,Bianca,seca,23.17
Unidade D,jan/2024,alergia,59,57,noite,23.5,não,sul,1,lado_a_lado,grafite,laranja,sim,nenhum,rock,branco,cacto,leste,11,81436400802,abr,23,Carlos,seca,44.21
Unidade B,set/2024,genético,61,75,manhã,-17.5,não,sul,3,lado_a_lado,laranja,amarela,não,nenhum,rock,azul_bebe,cacto,leste,5,98483734464,set,25,Marcos,climatizada,40.86
Unidade F,fev/2024,sangue,42,50,noite,12.4,não,norte,3,em_L,verde,verde,não,lavanda,nenhuma,branco,vaso_bambu,nenhuma,7,69691105454,mai,5,Nina,seca,22.69
Unidade F,out/2025,sangue,65,43,tarde,19.0,não,leste,1,dispersos,cinza,branca,não,nenhum,nenhuma,azul_bebe,vaso_bambu,leste,10,96957760422,abr,31,Nina,seca,24.59
Unidade E,mar/2025,genético,59,46,manhã,19.2,não,leste,1,dispersos,vinho,azul_cobalto,não,café,nenhuma,azul_bebe,cacto,sul,5,33390838631,jun,9,Marcos,climatizada,43.52
Unidade F,ago/2024,genético,45,47,manhã,15.8,não,sul,2,lado_a_lado,verde,azul_cobalto,não,eucalipto,jazz,vinho,nenhum,leste,8,19704536762,out,15,Nina,controlada,40.19
Unidade A,mai/2024,genético,42,64,manhã,8.2,não,oeste,2,lado_a_lado,laranja,roxa,não,lavanda,nenhuma,branco,cacto,leste,11,62896317214,fev,2,Eduardo,umida,37.02
Unidade D,set/2024,alergia,44,69,tarde,10.7,não,oeste,3,dispersos,verde,verde,não,lavanda,nenhuma,azul_bebe,samambaia,nenhuma,5,22623369183,out,29,Julia,umida,35.77
Unidade F,jun/2024,urina,64,57,tarde,18.8,não,oeste,3,em_L,amarela,verde,não,café,nenhuma,verde_limao,vaso_bambu,leste,6,83591439490,mai,12,1234,umida,18.68
Unidade E,jun/2025,sangue,51,78,manhã,15.6,não,oeste,3,lado_a_lado,azul,roxa,sim,lavanda,nenhuma,vinho,cacto,leste,12,33617741418,jul,9,Eduardo,umida,23.71
Unidade A,mar/2024,imagem,57,55,tarde,13.3,não,oeste,4,em_L,cinza,amarela,sim,eucalipto,rock,branco,samambaia,nenhuma,12,54824985278,nov,11,Ana,umida,35.31
Unidade F,out/2025,urina,49,45,manhã,,não,sul,2,lado_a_lado,verde,branca,não,nenhum,nenhuma,vinho,nenhum,nenhuma,7,42843927623,set,1,Julia,umida,21.9
Unidade C,jan/2025,,63,76,tarde,20.0,não,sul,2,em_L,azul_cobalto,azul_cobalto,não,eucalipto,nenhuma,azul_bebe,cacto,oeste,12,90075621911,jan,21,Julia,seca,41.71
Unidade B,out/2025,covid,60,69,tarde,21.9,não,oeste,1,em_L,cinza,amarela,não,eucalipto,jazz,azul_bebe,nenhum,norte,7,90891058959,jul,11,Marcos,seca,27.48
Unidade E,jul/2024,urina,44,63,tarde,20.1,não,norte,2,lado_a_lado,grafite,branca,não,café,pagode_90s,verde_limao,vaso_bambu,nenhuma,11,24061231635,mar,25,1234,umida,26.96
Unidade F,fev/2025,covid,65,66,manhã,19.9,não,sul,3,lado_a_lado,branca,amarela,não,nenhum,nenhuma,branco,cacto,norte,9,78716140552,ago,5,Ana,climatizada,27.05
Unidade D,nov/2025,sangue,48,50,manhã,19.4,sim,sul,2,lado_a_lado,branca,azul_cobalto,não,café,jazz,azul_bebe,vaso_bambu,sul,11,45258117094,jun,25,Marcos,seca,33.77
Unidade D,set/2024,imagem,59,61,tarde,19.5,não,sul,2,lado_a_lado,amarela,laranja,não,nenhum,jazz,branco,samambaia,sul,6,13098024512,dez,30,1234,seca,37.7
Unidade E,jul/2024,covid,43,68,manhã,13.4,não,sul,4,lado_a_lado,laranja,amarela,não,nenhum,pagode_90s,vinho,cacto,norte,11,65286271443,mar,16,Carlos,seca,20.57
Unidade D,ago/2024,,48,50,tarde,21.9,não,sul,1,lado_a_lado,laranja,branca,não,nenhum,nenhuma,vinho,nenhum,leste,11,49051090514,mar,26,Eduardo,umida,43.55
Unidade A,set/2025,urina,46,58,tarde,17.7,não,norte,1,em_L,cinza,laranja,não,nenhum,jazz,branco,vaso_bambu,norte,7,38034789804,mar,2,1113,seca,21.24
Unidade F,mar/2025,,71,57,manhã,22.0,não,oeste,1,dispersos,azul,azul_cobalto,não,lavanda,nenhuma,vinho,nenhum,nenhuma,11,87249000481,jul,18,Marcos,climatizada,44.77
Unidade E,mai/2024,sangue,39,76,tarde,23.3,não,leste,1,lado_a_lado,cinza,laranja,não,nenhum,pagode_90s,vinho,nenhum,leste,5,31732185714,jun,21,Ana,seca,25.31
Unidade F,dez/2024,hormonal,54,54,manhã,13.6,não,sul,4,dispersos,cinza,branca,não,lavanda,rock,verde_limao,vaso_bambu,leste,8,35301595017,dez,5,Bianca,seca,28.62
Unidade E,nov/2024,imagem,61,56,tarde,24.1,não,leste,2,lado_a_lado,cinza,roxa,não,lavanda,jazz,azul_bebe,samambaia,sul,6,74185752746,set,30,Carlos,controlada,35.92
Unidade E,fev/2025,sangue,56,82,manhã,18.6,não,sul,3,dispersos,verde,roxa,sim,café,jazz,branco,samambaia,nenhuma,7,86419796461,jul,25,Ana,seca,23.44
Unidade E,jan/2025,genético,59,73,tarde,20.0,não,oeste,3,em_L,verde,roxa,não,eucalipto,rock,branco,vaso_bambu,leste,5,67405944382,jun,7,Ana,umida,43.57
Unidade B,mar/2025,alergia,49,68,manhã,19.7,não,leste,2,dispersos,azul,branca,não,lavanda,nenhuma,branco,vaso_bambu,nenhuma,6,92015339704,jan,28,José,seca,37.33
Unidade E,out/2024,covid,44,74,noite,9.3,não,sul,2,dispersos,verde,roxa,não,café,jazz,azul_bebe,nenhum,oeste,5,28403330478,set,27,Nina,controlada,21.56
Unidade D,out/2024,covid,40,47,manhã,12.8,não,leste,3,lado_a_lado,amarela,azul_cobalto,não,nenhum,jazz,azul_bebe,nenhum,leste,12,65676261112,nov,23,Eduardo,climatizada,22.8
Unidade F,jul/2025,sangue,50,61,tarde,16.5,não,leste,3,lado_a_lado,vinho,azul_cobalto,sim,eucalipto,nenhuma,vinho,vaso_bambu,oeste,11,24529428619,jan,24,Nina,umida,22.43
Unidade C,nov/2025,alergia,60,75,tarde,23.4,não,oeste,1,em_L,vinho,branca,não,café,pagode_90s,verde_limao,cacto,norte,7,72277274733,jul,1,Bianca,controlada,43.25
Unidade B,jan/2024,hormonal,36,53,tarde,18.3,não,leste,2,dispersos,laranja,verde,não,lavanda,rock,vinho,nenhum,sul,5,27115171087,out,14,Eduardo,controlada,34.48
Unidade A,abr/2024,covid,38,48,manhã,15.9,não,oeste,1,lado_a_lado,amarela,azul_cobalto,não,nenhum,nenhuma,verde_limao,vaso_bambu,sul,11,18999704400,jul,21,Ana,seca,23.89
Unidade A,mar/2024,alergia,48,52,manhã,10.4,não,norte,2,lado_a_lado,amarela,amarela,não,nenhum,jazz,azul_bebe,cacto,nenhuma,11,42833234915,out,3,Carlos,umida,37.51
Unidade E,jan/2024,hormonal,54,41,manhã,14.3,não,norte,2,dispersos,vinho,roxa,não,lavanda,nenhuma,branco,samambaia,sul,9,21693017726,abr,26,Julia,climatizada,31.06
Unidade F,ago/2024,hormonal,39,68,manhã,21.2,não,oeste,4,em_L,vinho,amarela,sim,café,rock,branco,nenhum,norte,5,25533690150,dez,31,Nina,umida,31.64
Unidade B,dez/2024,sangue,54,66,tarde,21.0,não,sul,3,dispersos,branca,laranja,sim,lavanda,pagode_90s,vinho,vaso_bambu,nenhuma,9,13448094188,ago,16,Eduardo,seca,25.1
Unidade F,abr/2025,covid,48,59,noite,25.0,sim,oeste,2,lado_a_lado,amarela,amarela,não,lavanda,rock,azul_bebe,cacto,oeste,5,19623837852,jun,2,1234,umida,43.46
Unidade D,dez/2025,urina,52,76,manhã,,não,sul,3,em_L,branca,azul_cobalto,não,eucalipto,pagode_90s,vinho,samambaia,sul,9,33276735014,out,20,Julia,seca,23.91
Unidade F,jul/2025,hormonal,55,58,tarde,16.4,sim,oeste,4,lado_a_lado,cinza,azul_cobalto,não,lavanda,pagode_90s,vinho,vaso_bambu,norte,11,67211122842,mar,25,Carlos,controlada,41.05
Unidade F,nov/2024,hormonal,64,52,tarde,19.1,não,norte,3,lado_a_lado,grafite,verde,sim,café,jazz,branco,nenhum,oeste,9,87570535908,nov,24,Carlos,controlada,35.1
Unidade D,jul/2025,alergia,66,50,tarde,15.3,não,norte,4,lado_a_lado,grafite,amarela,não,lavanda,jazz,branco,cacto,sul,12,15343573874,jul,6,Julia,seca,42.79
Unidade B,out/2025,covid,56,69,manhã,19.7,não,norte,4,em_L,azul_cobalto,roxa,não,café,nenhuma,vinho,cacto,nenhuma,9,13014588681,ago,6,Marcos,seca,24.0
Unidade C,mai/2025,urina,48,80,manhã,21.8,não,oeste,2,lado_a_lado,laranja,verde,não,eucalipto,pagode_90s,azul_bebe,nenhum,leste,8,34972916043,set,2,Carlos,umida,28.46
Unidade D,fev/2025,sangue,51,63,tarde,15.6,não,oeste,3,lado_a_lado,amarela,branca,não,café,rock,vinho,cacto,leste,10,94153795827,jan,9,José,climatizada,22.06
Unidade D,dez/2025,sangue,41,74,manhã,17.6,,oeste,2,em_L,grafite,verde,não,café,jazz,vinho,vaso_bambu,sul,10,25137316156,jun,10,José,climatizada,23.69
Unidade F,mai/2024,sangue,48,73,manhã,19.2,não,oeste,2,dispersos,azul_cobalto,branca,não,lavanda,rock,branco,samambaia,nenhuma,9,83160272801,mar,23,1234,controlada,22.44
Unidade E,jan/2024,alergia,56,55,manhã,23.1,não,sul,2,lado_a_lado,cinza,verde,não,café,pagode_90s,azul_bebe,nenhum,sul,8,21540731527,nov,17,Bianca,climatizada,43.89
Unidade F,nov/2025,imagem,44,55,manhã,18.3,não,leste,3,lado_a_lado,branca,verde,não,nenhum,jazz,branco,cacto,oeste,8,38952047464,nov,14,Julia,umida,36.04
Unidade C,nov/2025,sangue,48,70,manhã,21.6,não,oeste,4,em_L,grafite,azul_cobalto,não,nenhum,pagode_90s,vinho,cacto,nenhuma,5,18956162962,mar,19,1234,controlada,22.04
Unidade A,ago/2024,sangue,44,69,manhã,17.0,não,sul,4,dispersos,grafite,roxa,não,nenhum,jazz,branco,cacto,norte,7,24426015647,fev,15,Marcos,umida,22.72
Unidade A,out/2025,sangue,61,61,noite,20.6,não,norte,4,em_L,azul,branca,sim,eucalipto,nenhuma,vinho,nenhum,leste,8,54434198795,nov,25,Carlos,controlada,25.69
Unidade F,mai/2024,,58,60,noite,17.7,não,leste,1,lado_a_lado,cinza,branca,não,café,rock,verde_limao,vaso_bambu,leste,9,42134313751,fev,30,Bianca,seca,33.41
Unidade A,dez/2025,imagem,46,45,manhã,24.3,não,sul,4,lado_a_lado,grafite,amarela,não,nenhum,nenhuma,azul_bebe,vaso_bambu,oeste,11,77590248775,abr,31,José,climatizada,34.97
Unidade C,jun/2024,genético,53,71,manhã,20.9,,leste,2,dispersos,cinza,laranja,não,café,nenhuma,verde_limao,vaso_bambu,leste,12,37048517163,nov,30,1234,umida,45.01
Unidade C,fev/2025,,46,53,tarde,18.5,não,sul,3,lado_a_lado,azul_cobalto,laranja,não,café,rock,vinho,samambaia,norte,8,47481639342,jul,19,Julia,seca,22.08
Unidade E,jun/2025,sangue,49,44,tarde,,não,sul,4,dispersos,grafite,branca,não,nenhum,rock,verde_limao,vaso_bambu,oeste,9,57465160676,jun,4,Carlos,climatizada,22.24
Unidade C,fev/2024,sangue,66,47,manhã,14.6,não,oeste,3,dispersos,amarela,verde,não,eucalipto,jazz,azul_bebe,vaso_bambu,norte,5,26859735953,ago,26,Julia,seca,24.67
Unidade A,abr/2025,urina,46,53,manhã,20.1,não,oeste,3,lado_a_lado,azul,azul_cobalto,não,nenhum,nenhuma,verde_limao,vaso_bambu,sul,8,59638456537,jul,1,Julia,climatizada,19.42
Unidade B,mai/2025,covid,41,76,tarde,22.7,,leste,3,dispersos,laranja,laranja,não,nenhum,rock,branco,nenhum,nenhuma,12,50163531373,jul,27,Julia,seca,25.99
Unidade A,ago/2024,hormonal,56,58,tarde,18.8,sim,leste,2,em_L,amarela,verde,não,café,pagode_90s,azul_bebe,vaso_bambu,nenhuma,7,60067350858,jan,18,Carlos,umida,34.04
Unidade D,fev/2024,sangue,51,46,noite,16.7,não,oeste,2,em_L,branca,laranja,não,nenhum,rock,vinho,cacto,leste,9,86135082694,set,2,Nina,climatizada,24.76
Unidade D,out/2025,imagem,38,42,tarde,16.6,não,oeste,2,dispersos,grafite,azul_cobalto,não,café,nenhuma,branco,vaso_bambu,nenhuma,5,18206971122,nov,25,Julia,climatizada,33.42
Unidade C,nov/2025,urina,60,68,manhã,17.7,não,norte,1,lado_a_lado,vinho,branca,não,eucalipto,pagode_90s,azul_bebe,nenhum,norte,8,31963172752,ago,22,1234,umida,20.08
Unidade B,jan/2025,alergia,56,41,noite,17.3,não,oeste,3,em_L,verde,amarela,não,eucalipto,pagode_90s,vinho,vaso_bambu,sul,9,44526435675,set,10,Marcos,seca,45.46
Unidade C,mar/2024,hormonal,53,69,manhã,17.5,não,norte,2,dispersos,amarela,verde,não,lavanda,pagode_90s,verde_limao,vaso_bambu,norte,8,52895147111,abr,14,Ana,climatizada,30.24
Unidade E,mai/2025,alergia,44,45,tarde,15.3,não,sul,2,lado_a_lado,verde,amarela,sim,nenhum,nenhuma,vinho,cacto,nenhuma,5,23850611215,jul,12,1234,controlada,35.75
Unidade D,ago/2025,alergia,48,66,manhã,17.1,não,leste,4,em_L,amarela,branca,não,eucalipto,jazz,azul_bebe,cacto,sul,6,96983586072,nov,16,Carlos,climatizada,37.18
Unidade E,jun/2025,covid,42,63,tarde,18.0,não,oeste,1,lado_a_lado,azul,verde,não,lavanda,nenhuma,azul_bebe,samambaia,nenhuma,12,36787453843,mai,22,Julia,climatizada,22.0
Unidade B,fev/2025,urina,41,73,tarde,19.1,não,sul,3,lado_a_lado,azul_cobalto,laranja,não,eucalipto,nenhuma,vinho,samambaia,norte,7,50235835233,nov,18,Ana,seca,25.26
Unidade B,fev/2024,covid,44,55,manhã,19.9,não,sul,3,lado_a_lado,azul,laranja,não,nenhum,jazz,vinho,samambaia,sul,12,38619571705,mar,17,Nina,seca,27.21
Unidade E,mar/2024,urina,42,53,tarde,10.7,não,oeste,4,lado_a_lado,cinza,amarela,não,eucalipto,pagode_90s,vinho,vaso_bambu,nenhuma,6,57535952276,abr,20,José,controlada,21.5
Unidade B,mar/2024,covid,53,74,tarde,21.5,,oeste,4,dispersos,azul_cobalto,azul_cobalto,não,café,nenhuma,branco,cacto,norte,7,84904805782,jan,17,Bianca,controlada,30.35
Unidade E,ago/2024,imagem,46,47,noite,,não,sul,2,lado_a_lado,branca,verde,não,nenhum,jazz,verde_limao,cacto,oeste,7,22771512997,jul,15,Eduardo,climatizada,40.56
Unidade E,abr/2024,,53,74,tarde,21.5,não,oeste,1,lado_a_lado,amarela,verde,não,café,rock,azul_bebe,samambaia,oeste,10,81985736037,ago,13,Ana,seca,43.0
Unidade B,fev/2025,covid,53,65,manhã,12.7,não,norte,4,dispersos,cinza,roxa,não,nenhum,jazz,vinho,vaso_bambu,nenhuma,6,55169990878,set,31,José,climatizada,22.78
Unidade E,abr/2024,,51,61,manhã,21.7,não,norte,1,lado_a_lado,verde,azul_cobalto,não,café,nenhuma,azul_bebe,nenhum,nenhuma,10,26426522855,ago,24,Marcos,umida,37.95
Unidade E,ago/2024,sangue,59,62,tarde,19.3,não,leste,1,em_L,verde,amarela,sim,eucalipto,nenhuma,verde_limao,cacto,sul,7,81989020872,mai,1,Ana,seca,28.98
Unidade C,jul/2025,imagem,40,52,tarde,15.7,não,leste,4,lado_a_lado,azul,azul_cobalto,não,café,nenhuma,verde_limao,samambaia,oeste,5,80941995277,nov,20,Julia,climatizada,38.1
Unidade C,nov/2024,,47,41,manhã,18.4,não,norte,4,dispersos,branca,roxa,sim,nenhum,rock,verde_limao,cacto,oeste,8,98230796149,ago,25,Carlos,umida,20.44
Unidade A,nov/2025,urina,58,51,tarde,16.7,não,norte,4,dispersos,vinho,azul_cobalto,não,lavanda,rock,vinho,vaso_bambu,sul,5,61094344577,set,21,Ana,seca,24.09
Unidade F,jan/2025,sangue,51,61,noite,,sim,oeste,4,em_L,amarela,branca,não,nenhum,jazz,branco,samambaia,sul,7,38249113917,out,6,Nina,climatizada,34.11
Unidade D,set/2024,covid,53,63,tarde,21.1,não,oeste,1,em_L,amarela,branca,não,lavanda,nenhuma,verde_limao,nenhum,nenhuma,5,93909292753,out,23,Eduardo,seca,25.63
Unidade A,ago/2024,covid,55,56,noite,12.7,não,sul,4,em_L,cinza,azul_cobalto,não,lavanda,rock,verde_limao,vaso_bambu,sul,5,94424283638,out,24,Eduardo,climatizada,25.01
Unidade A,dez/2024,urina,37,50,tarde,14.5,não,norte,2,lado_a_lado,azul_cobalto,laranja,não,nenhum,nenhuma,verde_limao,nenhum,nenhuma,11,11087237015,out,6,Bianca,seca,19.85
Unidade C,jun/2025,alergia,45,81,noite,19.6,não,norte,2,dispersos,verde,roxa,sim,café,nenhuma,vinho,nenhum,nenhuma,10,89058061262,jun,2,Bianca,umida,45.25
Unidade E,out/2025,genético,41,56,tarde,19.3,sim,oeste,3,dispersos,branca,branca,não,eucalipto,jazz,verde_limao,nenhum,leste,11,46715628632,abr,2,José,seca,52.54
Unidade E,mar/2024,imagem,40,50,tarde,19.6,não,sul,1,lado_a_lado,GRAFITE #007,verde,não,eucalipto,jazz,azul_bebe,nenhum,nenhuma,6,78548506084,jun,6,Carlos,seca,36.55
Unidade D,mar/2024,imagem,57,66,tarde,21.2,não,oeste,1,lado_a_lado,laranja,roxa,não,eucalipto,rock,azul_bebe,nenhum,leste,11,64701031154,mar,6,Marcos,controlada,36.33
Unidade E,jan/2025,,56,53,noite,27.5,não,sul,4,lado_a_lado,laranja,laranja,não,eucalipto,nenhuma,verde_limao,nenhum,nenhuma,6,20739409872,abr,1,José,seca,35.87
Unidade A,ago/2024,hormonal,44,56,manhã,17.7,não,leste,1,em_L,vinho,amarela,não,café,nenhuma,verde_limao,cacto,sul,6,22824996692,nov,12,1234,seca,28.14
Unidade E,dez/2024,hormonal,60,86,noite,,não,leste,3,lado_a_lado,grafite,azul_cobalto,não,nenhum,nenhuma,verde_limao,vaso_bambu,sul,11,65449267854,abr,15,Carlos,seca,31.76
Unidade F,dez/2024,urina,51,69,tarde,15.2,,leste,2,lado_a_lado,amarela,branca,não,eucalipto,nenhuma,azul_bebe,nenhum,oeste,6,71690540644,fev,7,Bianca,climatizada,20.58
Unidade C,mai/2025,imagem,56,54,tarde,15.1,sim,sul,2,em_L,laranja,amarela,sim,café,jazz,verde_limao,samambaia,sul,8,52909222352,ago,26,1234,seca,44.23
Unidade A,jan/2024,sangue,42,80,manhã,18.6,não,leste,2,lado_a_lado,branca,branca,não,café,jazz,azul_bebe,vaso_bambu,oeste,6,23103608577,dez,21,Julia,controlada,25.58
Unidade A,dez/2024,covid,63,51,tarde,15.5,não,norte,1,em_L,azul,amarela,não,café,nenhuma,verde_limao,vaso_bambu,norte,12,64605283404,jan,20,José,controlada,27.36
Unidade D,nov/2024,urina,50,52,manhã,21.8,não,norte,4,lado_a_lado,laranja,branca,não,café,pagode_90s,vinho,vaso_bambu,leste,7,61787899350,jun,9,Ana,climatizada,19.26
Unidade E,abr/2025,alergia,60,69,manhã,18.8,sim,sul,3,em_L,azul_cobalto,roxa,não,lavanda,rock,verde_limao,cacto,sul,10,64704659700,set,31,José,seca,48.54
Unidade C,jul/2024,hormonal,75,45,tarde,,não,norte,2,em_L,branca,azul_cobalto,sim,eucalipto,nenhuma,azul_bebe,vaso_bambu,sul,9,50108870336,nov,28,José,controlada,25.5
Unidade B,mar/2024,covid,49,73,manhã,15.2,não,leste,1,dispersos,amarela,azul_cobalto,não,café,jazz,verde_limao,nenhum,oeste,5,54038220134,ago,5,Nina,umida,25.05
Unidade A,mai/2024,urina,56,60,noite,23.5,não,leste,1,lado_a_lado,laranja,azul_cobalto,não,eucalipto,jazz,branco,vaso_bambu,sul,6,53143990474,fev,25,Eduardo,umida,24.48
Unidade C,jun/2025,hormonal,49,64,manhã,24.7,não,sul,1,lado_a_lado,branca,amarela,sim,lavanda,jazz,branco,cacto,leste,5,29047565622,ago,11,Marcos,seca,36.44
Unidade C,set/2024,alergia,52,62,tarde,20.2,não,sul,3,dispersos,amarela,laranja,não,lavanda,jazz,verde_limao,vaso_bambu,leste,5,64039412417,jan,6,1234,climatizada,42.41
Unidade F,nov/2024,imagem,40,55,manhã,18.3,não,sul,3,dispersos,branca,laranja,não,nenhum,jazz,azul_bebe,samambaia,leste,10,31771213782,dez,9,Eduardo,controlada,34.83
Unidade D,ago/2024,covid,59,57,tarde,17.7,sim,sul,1,em_L,laranja,branca,não,lavanda,nenhuma,azul_bebe,samambaia,nenhuma,9,14532333386,out,15,Eduardo,climatizada,37.53
Unidade B,jun/2025,imagem,44,47,manhã,21.9,não,sul,4,lado_a_lado,laranja,amarela,não,eucalipto,jazz,verde_limao,nenhum,norte,11,68582286506,dez,24,Nina,climatizada,40.81
Unidade C,fev/2024,urina,48,70,noite,25.2,não,leste,3,dispersos,azul_cobalto,roxa,sim,café,nenhuma,branco,cacto,nenhuma,7,48007149188,jun,21,Nina,seca,32.92
Unidade E,ago/2025,alergia,47,47,manhã,11.5,não,sul,1,lado_a_lado,GRAFITE #007,azul_cobalto,não,lavanda,jazz,vinho,samambaia,oeste,8,31821095011,ago,19,Nina,umida,33.29
Unidade F,jul/2024,genético,54,53,manhã,13.5,não,oeste,1,dispersos,azul_cobalto,azul_cobalto,sim,eucalipto,pagode_90s,branco,vaso_bambu,sul,8,17922735555,jan,29,Eduardo,climatizada,39.96
Unidade D,fev/2024,sangue,47,48,manhã,18.4,não,oeste,2,em_L,amarela,laranja,sim,nenhum,jazz,branco,samambaia,sul,8,20442697473,ago,23,Carlos,climatizada,25.91
Unidade D,jun/2024,hormonal,47,65,noite,18.7,não,oeste,2,dispersos,verde,azul_cobalto,não,lavanda,rock,branco,nenhum,nenhuma,5,18377465112,out,8,Carlos,climatizada,31.26
Unidade E,set/2025,genético,37,52,tarde,14.0,não,norte,3,dispersos,azul_cobalto,branca,não,nenhum,nenhuma,verde_limao,cacto,oeste,8,91420335514,ago,4,José,controlada,41.47
Unidade A,mar/2024,sangue,45,59,noite,21.7,não,oeste,4,lado_a_lado,verde,branca,não,café,jazz,vinho,nenhum,leste,5,74934400896,dez,31,Marcos,umida,29.23
Unidade E,nov/2025,genético,58,84,manhã,30.9,não,sul,4,dispersos,verde,azul_cobalto,não,lavanda,jazz,vinho,samambaia,sul,8,69111079480,abr,15,Marcos,climatizada,46.4
Unidade F,set/2024,hormonal,76,51,manhã,21.8,sim,sul,1,dispersos,cinza,azul_cobalto,não,nenhum,rock,vinho,samambaia,norte,11,27612057591,set,18,Nina,climatizada,41.37
Unidade F,mar/2024,sangue,62,59,manhã,18.4,não,oeste,4,lado_a_lado,grafite,amarela,não,lavanda,nenhuma,branco,nenhum,leste,12,86409058809,jul,28,Bianca,seca,24.81
Unidade C,ago/2025,hormonal,42,51,tarde,12.2,não,oeste,3,em_L,amarela,branca,não,eucalipto,pagode_90s,branco,samambaia,nenhuma,5,34434075190,ago,8,Marcos,umida,28.1
Unidade A,abr/2025,sangue,64,69,tarde,10.6,não,leste,2,dispersos,cinza,verde,sim,lavanda,jazz,branco,cacto,leste,12,13550659345,dez,12,Marcos,seca,21.79
Unidade F,jan/2025,urina,50,65,noite,16.7,não,norte,4,lado_a_lado,grafite,laranja,não,eucalipto,nenhuma,azul_bebe,samambaia,oeste,12,82084807775,nov,25,Julia,controlada,26.38
Unidade A,mar/2025,,41,70,noite,18.3,não,oeste,3,dispersos,cinza,amarela,sim,lavanda,rock,azul_bebe,vaso_bambu,norte,5,75814801932,set,12,1234,seca,29.09
Unidade E,jan/2025,covid,44,48,noite,20.8,não,sul,3,lado_a_lado,verde,azul_cobalto,não,eucalipto,pagode_90s,azul_bebe,samambaia,leste,7,58066029750,nov,28,Julia,controlada,30.82
Unidade C,set/2025,covid,38,55,tarde,26.3,não,oeste,1,dispersos,vinho,branca,não,café,nenhuma,verde_limao,cacto,oeste,7,49709007283,fev,30,1234,seca,30.44
Unidade C,jan/2024,alergia,45,56,manhã,19.5,,oeste,1,em_L,grafite,verde,não,lavanda,rock,vinho,cacto,nenhuma,12,15924714785,jan,8,1234,controlada,43.78
Unidade D,dez/2025,sangue,53,57,manhã,11.0,não,oeste,4,dispersos,laranja,laranja,não,nenhum,pagode_90s,verde_limao,nenhum,leste,7,64010559522,ago,6,Bianca,climatizada,19.53
Unidade F,jan/2024,sangue,51,40,noite,17.4,sim,leste,1,dispersos,amarela,verde,não,café,nenhuma,azul_bebe,nenhum,norte,6,82079573335,abr,14,José,climatizada,36.79
Unidade B,set/2024,alergia,51,70,manhã,11.3,não,norte,1,lado_a_lado,cinza,amarela,não,nenhum,jazz,branco,nenhum,sul,12,21842442632,jun,18,1234,controlada,36.09
Unidade B,out/2025,sangue,54,85,manhã,15.5,não,oeste,1,lado_a_lado,grafite,branca,não,eucalipto,pagode_90s,vinho,samambaia,norte,9,99886867005,out,28,Bianca,umida,21.75
Unidade D,jun/2025,genético,56,64,tarde,,não,norte,3,lado_a_lado,azul_cobalto,laranja,não,nenhum,jazz,verde_limao,nenhum,nenhuma,7,33986550481,dez,22,1234,controlada,43.4
Unidade C,dez/2025,genético,55,75,manhã,17.9,não,leste,3,em_L,verde,roxa,não,café,rock,vinho,samambaia,sul,5,42720625392,jan,1,1234,climatizada,40.98
Unidade F,out/2025,urina,46,63,manhã,17.0,não,leste,1,em_L,vinho,branca,não,eucalipto,rock,verde_limao,nenhum,leste,6,92078593931,mar,31,Bianca,controlada,20.32
Unidade A,jun/2025,covid,50,69,noite,20.2,não,oeste,3,lado_a_lado,cinza,branca,não,nenhum,jazz,vinho,nenhum,oeste,10,97820222546,mai,28,Julia,climatizada,29.41
Unidade F,nov/2025,imagem,58,69,tarde,14.0,sim,leste,1,em_L,amarela,amarela,não,lavanda,nenhuma,azul_bebe,nenhum,leste,10,41374779960,dez,12,Carlos,umida,46.74
Unidade E,jun/2024,genético,45,44,noite,19.7,não,oeste,1,em_L,laranja,amarela,não,eucalipto,nenhuma,branco,vaso_bambu,sul,7,58838150773,dez,13,Marcos,umida,47.46
Unidade C,jun/2024,urina,33,82,tarde,16.3,não,leste,1,em_L,cinza,roxa,não,lavanda,rock,verde_limao,samambaia,nenhuma,11,91610579429,out,2,Bianca,controlada,23.77
Unidade A,jul/2025,urina,38,52,tarde,18.2,,sul,1,em_L,vinho,branca,não,nenhum,nenhuma,vinho,nenhum,oeste,10,79999254978,nov,2,José,umida,33.56
